mode,rel_ba_pct,p,lr,steps,seed,pairs_csv,bh_macro,model_dir
erm,10.0,0.9090909090909091,5e-05,100,3,runs/erm_wt2_p091_lr5e-05_s3_t100/bh_erm_p091_lr5e-05_s3_t100.csv,0.6415359184087972,runs/erm_wt2_p091_lr5e-05_s3_t100
ilm,10.0,0.9090909090909091,5e-05,100,4,runs/ilm_wt2_p091_lr5e-05_s4_t100/bh_ilm_p091_lr5e-05_s4_t100.csv,0.6242288446974548,runs/ilm_wt2_p091_lr5e-05_s4_t100
erm,10.0,0.9090909090909091,5e-05,100,4,runs/erm_wt2_p091_lr5e-05_s4_t100/bh_erm_p091_lr5e-05_s4_t100.csv,0.6613078455007693,runs/erm_wt2_p091_lr5e-05_s4_t100
ilm,10.0,0.9090909090909091,5e-05,200,0,runs/ilm_wt2_p091_lr5e-05_s0_t200/bh_ilm_p091_lr5e-05_s0_t200.csv,0.5776549793150775,runs/ilm_wt2_p091_lr5e-05_s0_t200
erm,10.0,0.9090909090909091,5e-05,200,0,runs/erm_wt2_p091_lr5e-05_s0_t200/bh_erm_p091_lr5e-05_s0_t200.csv,0.6811527829499849,runs/erm_wt2_p091_lr5e-05_s0_t200
ilm,10.0,0.9090909090909091,5e-05,200,1,runs/ilm_wt2_p091_lr5e-05_s1_t200/bh_ilm_p091_lr5e-05_s1_t200.csv,0.6043342662786846,runs/ilm_wt2_p091_lr5e-05_s1_t200
erm,10.0,0.9090909090909091,5e-05,200,1,runs/erm_wt2_p091_lr5e-05_s1_t200/bh_erm_p091_lr5e-05_s1_t200.csv,0.6871198950313027,runs/erm_wt2_p091_lr5e-05_s1_t200
ilm,10.0,0.9090909090909091,5e-05,200,2,runs/ilm_wt2_p091_lr5e-05_s2_t200/bh_ilm_p091_lr5e-05_s2_t200.csv,0.5615367614854997,runs/ilm_wt2_p091_lr5e-05_s2_t200
erm,10.0,0.9090909090909091,5e-05,200,2,runs/erm_wt2_p091_lr5e-05_s2_t200/bh_erm_p091_lr5e-05_s2_t200.csv,0.6469221422603795,runs/erm_wt2_p091_lr5e-05_s2_t200
ilm,10.0,0.9090909090909091,5e-05,200,3,runs/ilm_wt2_p091_lr5e-05_s3_t200/bh_ilm_p091_lr5e-05_s3_t200.csv,0.5861508448211832,runs/ilm_wt2_p091_lr5e-05_s3_t200
erm,10.0,0.9090909090909091,5e-05,200,3,runs/erm_wt2_p091_lr5e-05_s3_t200/bh_erm_p091_lr5e-05_s3_t200.csv,0.658897242095951,runs/erm_wt2_p091_lr5e-05_s3_t200
ilm,10.0,0.9090909090909091,5e-05,200,4,runs/ilm_wt2_p091_lr5e-05_s4_t200/bh_ilm_p091_lr5e-05_s4_t200.csv,0.5848585846621454,runs/ilm_wt2_p091_lr5e-05_s4_t200
erm,10.0,0.9090909090909091,5e-05,200,4,runs/erm_wt2_p091_lr5e-05_s4_t200/bh_erm_p091_lr5e-05_s4_t200.csv,0.6647692645047718,runs/erm_wt2_p091_lr5e-05_s4_t200
ilm,10.0,0.9090909090909091,5e-05,1000,0,runs/ilm_wt2_p091_lr5e-05_s0_t1000/bh_ilm_p091_lr5e-05_s0_t1000.csv,0.4992352249579724,runs/ilm_wt2_p091_lr5e-05_s0_t1000
erm,10.0,0.9090909090909091,5e-05,1000,0,runs/erm_wt2_p091_lr5e-05_s0_t1000/bh_erm_p091_lr5e-05_s0_t1000.csv,0.6485927618544393,runs/erm_wt2_p091_lr5e-05_s0_t1000
ilm,10.0,0.9090909090909091,5e-05,1000,1,runs/ilm_wt2_p091_lr5e-05_s1_t1000/bh_ilm_p091_lr5e-05_s1_t1000.csv,0.483844665048835,runs/ilm_wt2_p091_lr5e-05_s1_t1000
erm,10.0,0.9090909090909091,5e-05,1000,1,runs/erm_wt2_p091_lr5e-05_s1_t1000/bh_erm_p091_lr5e-05_s1_t1000.csv,0.6867496778227066,runs/erm_wt2_p091_lr5e-05_s1_t1000
ilm,10.0,0.9090909090909091,5e-05,1000,2,runs/ilm_wt2_p091_lr5e-05_s2_t1000/bh_ilm_p091_lr5e-05_s2_t1000.csv,0.5071707187103931,runs/ilm_wt2_p091_lr5e-05_s2_t1000
erm,10.0,0.9090909090909091,5e-05,1000,2,runs/erm_wt2_p091_lr5e-05_s2_t1000/bh_erm_p091_lr5e-05_s2_t1000.csv,0.658126937182747,runs/erm_wt2_p091_lr5e-05_s2_t1000
ilm,10.0,0.9090909090909091,5e-05,1000,3,runs/ilm_wt2_p091_lr5e-05_s3_t1000/bh_ilm_p091_lr5e-05_s3_t1000.csv,0.5420818109997587,runs/ilm_wt2_p091_lr5e-05_s3_t1000
erm,10.0,0.9090909090909091,5e-05,1000,3,runs/erm_wt2_p091_lr5e-05_s3_t1000/bh_erm_p091_lr5e-05_s3_t1000.csv,0.6429342682301189,runs/erm_wt2_p091_lr5e-05_s3_t1000
ilm,10.0,0.9090909090909091,5e-05,1000,4,runs/ilm_wt2_p091_lr5e-05_s4_t1000/bh_ilm_p091_lr5e-05_s4_t1000.csv,0.5071124485518286,runs/ilm_wt2_p091_lr5e-05_s4_t1000
erm,10.0,0.9090909090909091,5e-05,1000,4,runs/erm_wt2_p091_lr5e-05_s4_t1000/bh_erm_p091_lr5e-05_s4_t1000.csv,0.6738414620949096,runs/erm_wt2_p091_lr5e-05_s4_t1000
